date,close,volume,open,high,low
2018/04/30,172,20662060,173.79,175.72,171.71
2018/04/27,173.59,29773640,176.81,177.1,172.6
2018/04/26,174.16,77391810,173.22,176.27,170.8
2018/04/25,159.69,38451590,160.145,161.06,156.19
2018/04/24,159.69,34981150,165.43,166.1,158.19
2018/04/23,165.84,22894510,167.27,168.45,165.09
2018/04/20,166.28,18917050,167.79,168.43,165.81
2018/04/19,168.1,21921120,166.2,168.33,165.2
2018/04/18,166.36,20248580,166.88,168.12,165.77
2018/04/17,168.66,21986820,165.83,169,165.66
2018/04/16,164.83,17951530,165.725,165.78,163.39
2018/04/13,164.52,19450140,164.58,165.7036,163.77
2018/04/12,163.87,38195140,166.98,167.45,163.1
2018/04/11,166.32,56011860,165.36,168.65,163.25
2018/04/10,165.04,58051080,157.93,165.98,157.01
2018/04/09,157.93,34671420,157.82,160.53,156.04
2018/04/06,157.2,41397190,157.73,161.42,156.81
2018/04/05,159.34,41138460,161.56,161.575,156.65
2018/04/04,155.1,49542320,152.025,155.56,150.51
2018/04/03,156.11,42518400,156.55,157.39,150.81
